,Vehicle_Title,Rating
37,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.75
38,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),5
39,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),4.625
40,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),2
41,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),4.25
42,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),3
43,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),2.375
44,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),4.375
45,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),2.75
46,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4
47,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),3.5
48,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.75
49,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),2.375
50,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),3.25
51,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),2.25
52,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.5
53,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),2.375
54,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 5M),4.625
55,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),3.25
56,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),5
57,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 5M),4.125
58,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),
,,
,,
59,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 5M),4.625
60,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),3.75
61,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.5
62,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4
63,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.375
64,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 5M),3.875
65,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 5M),
and cool!This should be the only car ,,
available to the public!,,
66,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),5
67,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 5M),
attention...buy this car.  I am stopped ,,
at least once a day by someone telling ,,
my how cute it is.  ,,
68,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),2.625
69,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),
purchase this car. I had been waiting ,,
for several years for it to come out. I ,,
love everything about this car. People ,,
are always shouting out thier windows ,,
at me about how much they love it too! ,,
My daughter and her friends love to ,,
ride it in. My daughter thinks she's ,,
getting it in 3 years - yeah right!,,
70,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),
couple of months now and so glad that I ,,
bought one. Everything about it is fun ,,
down to the cute vase. The colors are ,,
also what makes the car fun. I think ,,
everyone needs a bug.,,
71,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.5
72,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),4.5
73,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),4.75
74,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),5
75,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),4.5
76,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 6A),
to drive and fun to drive.,,
77,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),
a surprise - - it has turned heads on ,,
the streets now for 5 months,,
78,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),4.5
79,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),5
80,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.625
81,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.625
82,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 5M),4.75
83,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),
buy but it is not easy to use.,,
The handle to pull and latch the top is ,,
hard for a woman to use.,,
Likewise when the top is down the cover ,,
boot for the top is required to be in ,,
place and it too is difficult to latch.,,
The cover boot was replaced for a ,,
better fit but still suffers from ,,
difficulty to push the latches into the ,,
locking slots.,,
Dealer suggestion to place the boot ,,
cover on while heated up is a joke!,,
84,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),4.625
85,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 5M),4.875
86,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),
engineering are terrific for the ,,
price.  Car drives well and has quite a ,,
few features for the price.  ,,
87,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 6A),3.5
88,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),4.5
89,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 5M),5
90,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 5M),
of transportation and we have two ,,
kids.  Its working out great.  We just ,,
aren't SUV people.  Build quaility was ,,
great.  Performance is impressive.,,
91,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.375
92,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 5M),
their problems with the new top. mine ,,
goes up and down but you cannot always ,,
latch the top at the windshield. they ,,
tell me to let it sit in the sun. not ,,
the best answer when it starts to rain ,,
and you cannot get it to close. ,,
dealership has no idea how to fix,,
93,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),4
94,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 5M),4.625
95,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),
have! I think the 2003 Volkswagon ,,
Beetle Convertible should get a ,,
perfect ten on both style and ,,
performance. I fell in love the minute ,,
I first layed eyes on this perfect ,,
car. ,,
96,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 6A),4.75
97,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),5
98,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 5M),
dream and is a real head turner.,,
99,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),5
100,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),
interior.  I've had my nbc close to 2 ,,
months and I love the car.  I know ,,
people complain that the 2.0 doesn't ,,
have enough power...it can be a little ,,
sluggish but nothing you can't deal ,,
with.  The turbo sure would be nice ,,
though.  Just wish I hadn't gotten ,,
black! Really hard to keep clean.  The ,,
bugs love this car too which is a ,,
pain.  Buying the car went smoothly.  ,,
The people at the dealership were ,,
great.  Overall a nice car...in my ,,
opinion.,,
101,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),2.875
102,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),4.75
103,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 6A),
engine makes a difference when compared ,,
to the normally aspirated engine. The 6-,,
speed tiptronic shifts imperceptively. ,,
The body is rigid with nary a cowl ,,
share or twisting. The 10 speaker ,,
monsoon powered system is strong. The ,,
backseats are narrow but still usable. ,,
The same goes for the trunk. It's such ,,
a wonderful care that you almost want ,,
to forget that it's too cute.,,
104,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),4.75
105,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 5M),2.5
106,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),2.625
107,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (2.0L 4cyl 6A),4.75
108,2003 Volkswagen New Beetle Convertible GLX 2dr Convertible (1.8L 4cyl Turbo 6A),5
109,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),4.875
110,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),5
111,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4
112,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4.75
113,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4.625
114,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),3.75
115,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),3.875
116,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4.875
117,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4.125
118,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
the little guy. It feels like I'm ,,
driving a much heavier and larger car.,,
119,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),5
120,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),5
121,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),3.875
122,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),5
123,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
car's protective features really did a ,,
super job.  I survived the crash with ,,
only a few bumps and bruises.  Even the ,,
windows stayed in tact.  I loved my Bug ,,
before but now I am in love.  ,,
124,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4.625
125,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),5
126,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 4A),4.75
127,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
drive.  It's interior design makes the ,,
most of a small car.,,
128,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
well.  Plenty of power. I am getting 40 ,,
mpg in the city and Close to 50 mpg ,,
highway.,,
129,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 4A),5
130,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
time driving this car.  I have had no problem ,,
with enough power starting off or on the ,,
highway.  This car has plenty of zip to move ,,
in and around city traffic which I do a lot of.  It ,,
holds to the road quite nicely and I would ,,
not have it any other way.  It has been so ,,
much fun to drive!  The gas milage is great!,,
131,2003 Volkswagen New Beetle Diesel GLS TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
The design is awesome!!! Dealership was ,,
great. No complaints!!! VW nice jobe :-),,
132,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),
NC mountians.  The car handled almost ,,
as good as my A4 Audi Q.  Just think of ,,
it as a new bettle with the sound of an ,,
old one.  I took it up 15% grades with ,,
4 adults in 4 gear at 60mph with no ,,
problem.  Thats not bad. Car is solid ,,
on the road and handles very well.  Buy ,,
one and you will agree.,,
133,2003 Volkswagen New Beetle Diesel GL TDI 2dr Hatchback (1.9L 4cyl Turbodiesel 5M),4.875
134,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4
135,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),1
136,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),2
137,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),3
138,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),1
139,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),1.875
140,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),3.25
141,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),1.875
142,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4.25
143,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),4
144,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),2.125
145,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),3.375
146,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),1
147,2003 Volkswagen New Beetle Hatchback GL 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),3.5
148,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),3.125
149,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),4.75
150,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),5
151,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),5
152,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),4.875
153,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4.625
154,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),5
155,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4.875
156,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),5
157,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4.375
158,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),
all of the smiles I get from people on ,,
the streets. Very reliable and very ,,
comfy.,,
159,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),4.625
160,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),4.875
161,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4.875
162,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),3.125
163,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),1.5
164,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),3.875
165,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),
carry lots with the hatch down! only ,,
draw back I've  found is the placement ,,
of the cup holders you can't get ,,
anything bigger then a soda can. ,,
thinking  they need  to think about ,,
those  big  gulps from 7-11,,
166,2003 Volkswagen New Beetle Hatchback GL 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),4
167,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),
Blue Lagoon. The blue and black leather ,,
seats are awesome and the turbo eats up ,,
these hills in Austin. Owner of a 1972 ,,
beetle and it is amazing how far these ,,
cars have come.,,
168,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),
glad I bought a bug.  A yellow one at ,,
that.  Everyone says it is so perfect ,,
for me and it is so much fun to drive.,,
169,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),5
170,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),4.875
171,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),
car will be an organe new beetle 2004.,,
(maybe convertible...),,
172,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),4.75
173,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 4A),
it!,,
174,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),4.125
175,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),
always fun to be spotted in! ,,
176,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),4.875
177,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),4.125
178,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),
Turbo gives the car a lot of pep.  ,,
Smooth ride on the freeway.,,
179,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),4.5
180,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),3.125
181,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),3.125
182,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),4.625
183,2003 Volkswagen New Beetle Hatchback GL 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),5
184,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),2
185,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),
This is the first car I have ever owned ,,
that I wanted to keep immaculate..When ,,
the sunroof is open along with the side ,,
windows it feels like a convertible ,,
without the sun burning you up.... gas ,,
mileage..awesome....(I own a Surburban ,,
too!)...buy one you won't regret ,,
it..cheap to insure..it has a good ,,
safety rating...,,
186,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),4.875
187,2003 Volkswagen New Beetle Hatchback GL 2dr Hatchback (2.0L 4cyl 5M),
DRIVE AND VERY COMFORTABLE.  ,,
 ,,
188,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),5
189,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),5
190,2003 Volkswagen New Beetle Hatchback Turbo S 2dr Hatchback (1.8L 4cyl Turbo 6M),5
191,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),5
192,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),
its a real blast,,
193,2003 Volkswagen New Beetle Hatchback GLS 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),4.875
194,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),5
195,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 5M),
fun to drive,,
196,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),4.75
197,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),4.75
198,2003 Volkswagen New Beetle Hatchback GL 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),5
199,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),
Targa to my new '03 Beetle Turbo S. We ,,
LOVE it! Goes like the dickens and I ,,
feel like a better citizen as well. ,,
Nobody hates Beetle drivers...EVERYBODY ,,
hates Porsche drivers.,,
200,2003 Volkswagen New Beetle Hatchback GLX 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),
but it is the same as 2003.  i love ,,
that car you feel very comfortable when ,,
in it and the back seat really isnt ,,
that small two people can fit in it ,,
easily.,,
201,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 5M),
annoyance: The non-negotiable light ,,
switch; the auto locking system that ,,
cannot be overidden for more than 15 ,,
seconds; the keyless remote that ,,
requires a flashlight to operate after ,,
sundown; the BIG ONE -impossibility of ,,
removing dust from the fly paper- ,,
surface dash and cloth upholstery. what ,,
a mess! All unimportant but a constant ,,
pain.I only have 5K miles for C's sake.,,
202,2003 Volkswagen New Beetle Hatchback GLS 2dr Hatchback (2.0L 4cyl 4A),5
203,2003 Volkswagen New Beetle Hatchback GL 1.8T 2dr Hatchback (1.8L 4cyl Turbo 4A),4.375
204,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),4.625
205,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),4.875
206,2009 Volkswagen New Beetle Convertible 2.5L Blush Edition 2dr Convertible (2.5L 5cyl 6A),5
207,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),4.875
208,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),4.875
209,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),4.875
210,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),4.375
211,2009 Volkswagen New Beetle Convertible 2.5L 2dr Convertible (2.5L 5cyl 6A),5
212,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 6A),4
213,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 6A),4
214,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 5M),4.75
215,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 6A),4.625
216,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 5M),4.625
217,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 6A),5
218,2009 Volkswagen New Beetle Hatchback 2.5L 2dr Hatchback (2.5L 5cyl 5M),5
